ID,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
R-MMU-8978934,0,0,0,0,0,1,1,0
R-MMU-9607240,0,0,0,0,0,0,1,0
mmu04261,0,0,0,0,1,0,1,0
R-MMU-5683057,0,0,0,0,0,0,1,0
R-MMU-5610785,0,0,0,0,0,0,1,0
mmu00650,0,1,1,0,0,1,1,0
R-MMU-68867,0,0,0,0,0,0,1,0
R-MMU-4641258,0,0,0,0,0,0,1,0
R-MMU-1247673,0,0,0,0,0,0,1,0
R-MMU-2046105,0,0,0,0,0,0,1,0
R-MMU-2151201,0,1,0,0,0,0,1,0
R-MMU-349425,0,0,0,0,0,0,1,0
mmu04371,0,0,0,0,1,0,1,0
mmu05032,0,0,0,0,1,0,1,0
R-MMU-15869,0,0,0,0,0,0,1,0
R-MMU-1483166,0,1,0,1,1,1,1,0
mmu04540,0,0,0,0,1,0,1,0
R-MMU-1237044,0,0,0,0,0,0,1,0
R-MMU-1480926,0,0,0,0,0,0,1,0
R-MMU-2162123,0,0,0,0,0,0,1,0
R-MMU-8854050,0,0,0,0,0,0,1,0
R-MMU-77288,0,1,1,0,1,1,1,0
R-MMU-77352,0,1,0,0,1,0,1,0
R-MMU-8939236,0,0,0,0,0,0,1,0
R-MMU-8852276,0,0,0,0,0,0,1,0
R-MMU-109582,0,0,0,0,1,0,1,0
R-MMU-4641257,0,0,0,0,0,0,1,0
R-MMU-389887,0,0,0,1,0,1,1,0
R-MMU-5687128,0,0,0,0,0,0,1,0
mmu04925,0,0,0,0,1,0,1,0
R-MMU-5610780,0,0,0,0,0,0,1,0
R-MMU-69541,0,0,0,0,0,0,1,0
R-MMU-70895,0,0,1,0,1,0,1,0
R-MMU-8939902,0,0,0,0,0,0,1,0
mmu03050,0,0,0,0,0,0,1,0
R-MMU-8948751,0,0,0,0,0,0,1,0
R-MMU-9006925,0,0,0,0,0,0,1,0
R-MMU-71387,0,1,0,0,1,1,0,0
R-MMU-8979227,0,1,0,1,0,1,0,0
R-MMU-70171,0,1,0,0,1,1,0,0
mmu00900,0,0,0,0,0,1,0,0
R-MMU-427413,0,0,0,0,0,1,0,0
R-MMU-73728,0,0,0,0,0,1,0,0
R-MMU-427359,0,0,0,0,0,1,0,0
R-MMU-5250941,0,0,0,0,0,1,0,0
R-MMU-3214847,0,0,0,0,0,1,0,0
R-MMU-5625886,0,0,0,0,0,1,0,0
mmu00130,0,1,0,0,0,1,0,0
R-MMU-2559582,0,0,0,0,0,0,0,0
R-MMU-5625740,0,0,0,0,0,0,0,0
mmu00270,0,0,0,0,0,1,0,0
R-MMU-71064,0,0,0,0,0,0,0,0
R-MMU-75109,0,0,0,0,0,0,0,0
R-MMU-212300,0,0,0,0,0,0,0,0
R-MMU-2299718,0,0,0,0,0,0,0,0
R-MMU-9006931,0,0,0,0,1,1,0,0
mmu00410,0,1,1,1,0,0,0,0
mmu00564,0,1,0,0,1,0,0,0
R-MMU-8936459,0,0,0,0,0,0,0,0
mmu00500,0,1,0,0,1,1,0,0
R-MMU-3214842,0,0,0,0,0,1,0,0
mmu04910,0,1,0,0,1,0,0,0
mmu04923,0,0,0,1,1,0,0,0
R-MMU-450282,0,0,0,0,1,0,0,0
mmu04926,0,0,0,0,1,0,0,0
mmu04510,0,0,0,0,1,0,0,0
mmu04151,0,0,0,0,1,0,0,0
R-MMU-198725,0,0,0,0,1,0,0,0
R-MMU-198753,0,0,0,0,1,0,0,0
R-MMU-1474244,0,0,0,0,1,0,0,0
mmu04933,0,0,0,0,1,0,0,0
mmu04010,0,0,0,0,1,0,0,0
R-MMU-9006934,0,0,0,0,1,0,0,0
mmu04213,0,0,0,0,1,0,0,0
mmu05231,0,0,0,0,1,0,0,0
mmu04071,0,0,0,0,1,0,0,0
R-MMU-168142,0,0,0,0,1,0,0,0
R-MMU-168176,0,0,0,0,1,0,0,0
R-MMU-975871,0,0,0,0,1,0,0,0
R-MMU-166058,0,0,0,0,1,0,0,0
R-MMU-168179,0,0,0,0,1,0,0,0
R-MMU-168188,0,0,0,0,1,0,0,0
R-MMU-181438,0,0,0,0,1,0,0,0
R-MMU-8982491,0,0,0,0,1,1,0,0
mmu04072,0,0,0,0,1,0,0,0
R-MMU-202670,0,0,0,0,1,0,0,0
R-MMU-168164,0,0,0,0,1,0,0,0
mmu04068,0,0,0,0,1,0,0,0
mmu04919,0,0,0,0,1,0,0,0
R-MMU-1474290,0,0,0,0,1,0,0,0
R-MMU-390522,0,0,0,0,1,0,0,0
R-MMU-196780,0,0,1,0,1,0,0,0
R-MMU-2022090,0,0,0,0,1,0,0,0
R-MMU-3000157,0,0,0,0,1,0,0,0
R-MMU-448424,0,0,0,0,1,0,0,0
R-MMU-450294,0,0,0,0,1,0,0,0
R-MMU-975138,0,0,0,0,1,0,0,0
R-MMU-187037,0,0,0,0,1,0,0,0
R-MMU-166520,0,0,0,0,1,0,0,0
R-MMU-168181,0,0,0,0,1,0,0,0
R-MMU-975155,0,0,0,0,1,0,0,0
mmu04728,0,0,0,0,1,0,0,0
mmu04512,0,0,0,0,1,0,0,0
R-MMU-71032,0,1,0,0,1,0,0,0
mmu04924,0,0,0,0,1,0,0,0
mmu05220,0,0,0,0,1,0,0,0
R-MMU-432142,0,0,0,0,1,0,0,0
mmu04935,0,0,0,0,1,0,0,0
R-MMU-76002,0,0,0,0,1,0,0,0
R-MMU-166016,0,0,0,0,1,0,0,0
mmu04211,0,0,0,0,1,0,0,0
mmu05200,0,0,0,0,1,0,0,0
R-MMU-5628897,0,0,0,0,1,0,0,0
R-MMU-389513,0,0,0,0,1,0,0,0
mmu04970,0,0,0,0,1,0,0,0
R-MMU-168138,0,0,0,0,1,0,0,0
R-MMU-9009391,0,0,0,0,1,0,0,0
R-MMU-5205685,0,0,0,0,1,0,0,0
mmu01522,0,0,0,0,1,0,0,0
mmu05165,0,0,0,0,1,0,0,0
R-MMU-75896,0,0,0,0,1,0,0,0
R-MMU-397014,0,0,0,0,1,0,0,0
R-MMU-166166,0,0,0,0,1,0,0,0
R-MMU-937061,0,0,0,0,1,0,0,0
R-MMU-390696,0,0,0,0,1,0,0,0
mmu04530,0,0,0,0,1,0,0,0
R-MMU-168898,0,0,0,0,1,0,0,0
R-MMU-445355,0,0,0,0,1,0,0,0
R-MMU-5205647,0,0,0,0,1,0,0,0
R-MMU-114508,0,0,0,0,1,0,0,0
mmu04015,0,0,0,0,1,0,0,0
mmu04114,0,0,0,0,1,0,0,0
mmu05222,0,0,0,0,1,0,0,0
R-MMU-76005,0,0,0,0,1,0,0,0
R-MMU-196299,0,0,0,0,1,0,0,0
R-MMU-70221,0,0,0,0,1,0,0,0
R-MMU-71336,0,1,0,0,1,0,0,0
mmu04928,0,0,0,0,1,0,0,0
mmu02010,0,0,0,0,1,0,0,0
mmu04930,0,0,0,0,1,0,0,0
mmu05414,0,0,0,0,1,0,0,0
R-MMU-114608,0,0,0,0,1,0,0,0
R-MMU-1482883,0,0,0,0,1,0,0,0
R-MMU-199920,0,0,0,0,1,0,0,0
R-MMU-8848584,0,0,0,0,1,0,0,0
mmu05210,0,0,0,0,1,0,0,0
mmu05205,0,0,0,0,1,0,0,0
mmu04150,0,0,0,0,1,0,0,0
mmu00052,0,0,0,0,1,0,0,0
R-MMU-8941237,0,0,0,0,1,0,0,0
R-MMU-112043,0,0,0,0,1,0,0,0
R-MMU-174824,0,0,0,1,0,0,0,0
R-MMU-8964046,0,0,0,1,0,0,0,0
R-MMU-8963898,0,0,0,1,0,1,0,0
R-MMU-163560,0,1,0,1,0,1,0,0
R-MMU-8963899,0,0,0,1,0,0,0,0
mmu04979,0,0,0,1,0,1,0,0
R-MMU-211859,0,0,0,1,0,0,0,0
mmu00310,0,1,1,0,0,0,0,0
R-MMU-163282,0,0,1,0,0,0,0,0
R-MMU-75944,0,0,1,0,0,0,0,0
mmu00770,0,0,1,0,0,0,0,0
R-MMU-1482798,0,0,1,0,0,0,0,0
R-MMU-9603798,0,1,0,0,0,0,0,0
R-MMU-163754,0,1,0,0,0,0,0,0
mmu00250,0,1,0,0,0,0,0,0
R-MMU-196783,0,1,0,0,0,0,0,0
R-MMU-8957322,0,0,0,0,0,1,0,0
R-MMU-8964058,0,0,0,0,0,1,0,0
